rdf:type	simulink:Block
simulink:Block/parameter	model11:parameters/Subsystem1::OverrideUsingVariant
simulink:Block/parameter	model11:parameters/Subsystem1::BlockChoice
simulink:Block/parameter	model11:parameters/Subsystem1::PermitHierarchicalResolution
simulink:Block/parameter	model11:parameters/Subsystem1::RTWSystemCode
simulink:Block/parameter	model11:parameters/Subsystem1::TemplateBlock
simulink:Block/parameter	model11:parameters/Subsystem1::MinAlgLoopOccurrences
simulink:Block/parameter	model11:parameters/Subsystem1::RTWMemSecDataConstants
simulink:Block/parameter	model11:parameters/Subsystem1::FunctionInterfaceSpec
simulink:Block/parameter	model11:parameters/Subsystem1::Variant
simulink:Block/parameter	model11:parameters/Subsystem1::ActiveVariant
simulink:Block/parameter	model11:parameters/Subsystem1::GeneratePreprocessorConditionals
simulink:Block/parameter	model11:parameters/Subsystem1::RTWFileNameOpts
simulink:Block/parameter	model11:parameters/Subsystem1::ShowPortLabels
simulink:Block/parameter	model11:parameters/Subsystem1::SystemSampleTime
simulink:Block/parameter	model11:parameters/Subsystem1::IsSubsystemVirtual
simulink:Block/parameter	model11:parameters/Subsystem1::VariantControl
simulink:Block/parameter	model11:parameters/Subsystem1::RTWMemSecDataInternal
simulink:Block/parameter	model11:parameters/Subsystem1::MemberBlocks
simulink:Block/parameter	model11:parameters/Subsystem1::ActiveVariantBlock
simulink:Block/parameter	model11:parameters/Subsystem1::CheckFcnCallInpInsideContextMsg
simulink:Block/parameter	model11:parameters/Subsystem1::RTWFileName
simulink:Block/parameter	model11:parameters/Subsystem1::RTWMemSecDataParameters
simulink:Block/parameter	model11:parameters/Subsystem1::RTWFcnNameOpts
simulink:Block/parameter	model11:parameters/Subsystem1::TreatAsAtomicUnit
simulink:Block/parameter	model11:parameters/Subsystem1::FunctionWithSeparateData
simulink:Block/parameter	model11:parameters/Subsystem1::Permissions
simulink:Block/parameter	model11:parameters/Subsystem1::RTWMemSecFuncInitTerm
simulink:Block/parameter	model11:parameters/Subsystem1::ErrorFcn
simulink:Block/parameter	model11:parameters/Subsystem1::RTWFcnName
simulink:Block/parameter	model11:parameters/Subsystem1::PropExecContextOutsideSubsystem
simulink:Block/parameter	model11:parameters/Subsystem1::RTWMemSecFuncExecute
simulink:Block/outputPort	model11:outputports/Subsystem1::outport::1
simulink:Block/name	Subsystem1
simulink:Block/type	SubSystem
simulink:Block/inputPort	model11:inputports/Subsystem1::inport::1
oslc_cm:changed_by	bugzilla:services/1/changeRequests/170
oslc_cm:changed_by	bugzilla:services/1/changeRequests/161
oslc_cm:changed_by	bugzilla:services/1/changeRequests/338
oslc_cm:changed_by	bugzilla:services/1/changeRequests/1274
oslc_cm:changed_by	bugzilla:services/1/changeRequests/1439
oslc_cm:changed_by	bugzilla:services/1/changeRequests/1423
oslc_cm:changed_by	bugzilla:services/1/changeRequests/641
oslc_cm:changed_by	bugzilla:services/1/changeRequests/1207
oslc_cm:changed_by	bugzilla:services/1/changeRequests/1201
oslc_cm:changed_by	bugzilla:services/1/changeRequests/926
oslc_cm:changed_by	bugzilla:services/1/changeRequests/1659
oslc_cm:changed_by	bugzilla:services/1/changeRequests/1623
oslc_cm:changed_by	bugzilla:services/1/changeRequests/1708
oslc_cm:changed_by	bugzilla:services/1/changeRequests/1719
